FullTime,BITUME,FILLER,INERTI,RICICLATO,ENERGIA,Hour,Date,Day of Week,Month,Year,dayname,YearMonthDay,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,clouds_all,weather_main
2019-04-01 06:00:00,8.63,14.19,159.97,48.07,332,6,1,0,4,2019,Monday,2019-04-01,12.05,9.24,8.33,15,1015,65,2.6,1,Clear
2019-04-01 07:00:00,8.62,14.31,152.05,46.44,334,7,1,0,4,2019,Monday,2019-04-01,15.28,12.71,10.56,18,1016,63,3.1,1,Clear
2019-04-01 08:00:00,5.42,9.08,92.44,29.02,245,8,1,0,4,2019,Monday,2019-04-01,18.15,13.16,14.1,20,1014,54,6.7,1,Clear
2019-04-01 09:00:00,4.54,7.86,93.27,27.57,250,9,1,0,4,2019,Monday,2019-04-01,18.91,14.44,12.78,21.67,1014,49,5.7,1,Clear
2019-04-01 10:00:00,8.38,14.47,148.41,43.76,329,10,1,0,4,2019,Monday,2019-04-01,20.34,16.46,15,22.78,1015,47,5.1,1,Clear
2019-04-01 11:00:00,7.31,9.65,122.44,37.01,279,11,1,0,4,2019,Monday,2019-04-01,21.4,18.04,17.78,23.89,1015,46,4.6,4,Clear
2019-04-01 12:00:00,0.45,0.53,7.7,2.09,95,12,1,0,4,2019,Monday,2019-04-01,22.15,19.06,18.23,24.44,1014,43,4.1,19,Clouds
2019-04-01 13:00:00,7.76,11.4,134.08,39.58,309,13,1,0,4,2019,Monday,2019-04-01,22.18,19.44,17.1,23.33,1014,43,3.6,23,Clouds
2019-04-01 14:00:00,7.65,9.91,120.53,33.05,267,14,1,0,4,2019,Monday,2019-04-01,22.38,19.34,16.6,25,1013,43,4.1,35,Clouds
2019-04-01 15:00:00,1.13,0.88,18.4,1.73,132,15,1,0,4,2019,Monday,2019-04-01,21.99,18.86,18.4,25,1013,43,4.1,25,Clouds
2019-04-01 16:00:00,0,0.26,17.08,5.07,128,16,1,0,4,2019,Monday,2019-04-01,21.64,19.13,18.3,24.44,1012,43,3.1,41,Clouds
2019-04-01 17:00:00,0,0.82,26.01,8.84,150,17,1,0,4,2019,Monday,2019-04-01,20.02,17.67,13.33,22.28,1013,45,2.6,47,Clouds
2019-04-02 06:00:00,8.62,13.54,158.21,47.86,331,6,2,1,4,2019,Tuesday,2019-04-02,11.82,10.29,8.89,13.89,1014,77,1.5,98,Clouds
2019-04-02 07:00:00,5.61,8.02,99.45,29.35,260,7,2,1,4,2019,Tuesday,2019-04-02,14.04,13.37,8.33,17.22,1014,83,1.5,40,Clouds
2019-04-02 08:00:00,4.98,8.4,90.04,25.93,238,8,2,1,4,2019,Tuesday,2019-04-02,17.2,13.89,13.7,19,1014,66,5.1,40,Clouds
2019-04-02 09:00:00,8.49,13.1,156.01,43.64,321,9,2,1,4,2019,Tuesday,2019-04-02,18.44,16.25,13.89,20,1014,62,3.6,40,Clouds
2019-04-02 10:00:00,5.44,8.31,97.37,21.7,241,10,2,1,4,2019,Tuesday,2019-04-02,19.45,18.57,14.44,22.22,1013,56,1.5,40,Clouds
2019-04-02 11:00:00,5.67,8.39,106.73,29.4,261,11,2,1,4,2019,Tuesday,2019-04-02,20.16,19.15,16.11,22.78,1013,52,1.5,75,Clouds
2019-04-02 12:00:00,0.34,0.33,4.94,1.03,114,12,2,1,4,2019,Tuesday,2019-04-02,20.89,20.5,16.55,22.78,1013,53,1,75,Clouds
2019-04-02 13:00:00,5.81,8.02,102.98,25.62,261,13,2,1,4,2019,Tuesday,2019-04-02,21.02,20.58,16.5,23.89,1011,52,1,75,Clouds
2019-04-02 14:00:00,3.53,5.04,70.55,7.96,191,14,2,1,4,2019,Tuesday,2019-04-02,21.24,19.84,15.8,22.78,1011,44,1.5,75,Clouds
2019-04-02 15:00:00,1.7,1.83,28.57,0,139,15,2,1,4,2019,Tuesday,2019-04-02,20.68,18.6,14.9,22.78,1010,51,3.1,75,Clouds
2019-04-02 16:00:00,3.93,3.09,99.5,0,199,16,2,1,4,2019,Tuesday,2019-04-02,19.82,17.56,14.1,21.67,1010,56,3.6,75,Clouds
2019-04-02 17:00:00,4.83,4.32,106.55,0,170,17,2,1,4,2019,Tuesday,2019-04-02,18.1,15.76,13.2,20,1010,56,3.1,75,Clouds
2019-04-03 06:00:00,8.52,13,163.44,39.55,335,6,3,2,4,2019,Wednesday,2019-04-03,12.28,10.39,10.1,13.4,1009,91,3.1,40,Mist
2019-04-03 07:00:00,5.2,8.34,100.34,22.78,240,7,3,2,4,2019,Wednesday,2019-04-03,12.92,9.82,11.1,13.89,1009,84,4.6,40,Mist
2019-04-03 08:00:00,0.61,0.64,15.28,0,30,8,3,2,4,2019,Wednesday,2019-04-03,13.99,11.14,11.11,15,1009,83,4.6,40,Mist
2019-04-03 09:00:00,6.17,7.94,113.85,18.64,263,9,3,2,4,2019,Wednesday,2019-04-03,14.75,13.17,12.6,16.67,1009,83,3.1,40,Mist
2019-04-03 10:00:00,0,0,8.07,0,46,10,3,2,4,2019,Wednesday,2019-04-03,15.64,14.09,12.1,17.78,1008,79,3.1,20,Mist
2019-04-03 11:00:00,0,0,0,0,25,11,3,2,4,2019,Wednesday,2019-04-03,16.3,13.75,13.33,18.33,1008,65,3.6,20,Mist
2019-04-03 12:00:00,0,0,0,0,38,12,3,2,4,2019,Wednesday,2019-04-03,17.04,14.87,13.1,19.44,1007,68,3.6,40,Mist
2019-04-03 13:00:00,6.79,5.69,141.32,0,239,13,3,2,4,2019,Wednesday,2019-04-03,16.57,14.71,12.7,19.44,1007,75,3.6,40,Clouds
2019-04-03 14:00:00,0.12,0,8.73,0,77,14,3,2,4,2019,Wednesday,2019-04-03,15.4,12.04,12.1,17.78,1006,73,5.1,40,Mist
2019-04-03 15:00:00,0,0,0,0,9,15,3,2,4,2019,Wednesday,2019-04-03,14.06,11.63,10.56,16.11,1006,84,4.1,40,Clouds
2019-04-03 16:00:00,0,0,0,0,,16,3,2,4,2019,Wednesday,2019-04-03,13.38,12.92,8.89,16.11,1006,99,2.1,40,Rain
2019-04-03 17:00:00,0,0,0,0,,17,3,2,4,2019,Wednesday,2019-04-03,12.77,10.71,8.89,15,1006,99,4.1,40,Rain
2019-04-04 06:00:00,0,0,0,0,18,6,4,3,4,2019,Thursday,2019-04-04,11.99,8.76,7.78,13.28,1002,94,5.1,75,Rain
2019-04-04 07:00:00,0,0,0,0,27,7,4,3,4,2019,Thursday,2019-04-04,12.31,9.87,10.8,13.33,1002,94,4.1,40,Rain
2019-04-04 08:00:00,0,0,0,0,26,8,4,3,4,2019,Thursday,2019-04-04,12.54,8.56,10.7,14,1002,91,6.2,40,Rain
2019-04-04 09:00:00,0,0,0,0.11,69,9,4,3,4,2019,Thursday,2019-04-04,13.15,9.69,11.2,15.56,1002,91,5.7,40,Rain
2019-04-04 10:00:00,0,0,0,0,27,10,4,3,4,2019,Thursday,2019-04-04,13.84,10.44,11.67,17.22,1002,88,5.7,40,Clouds
2019-04-04 11:00:00,0,0.11,0,0,25,11,4,3,4,2019,Thursday,2019-04-04,14.42,10.84,12,19.44,1001,88,6.2,40,Clouds
2019-04-04 12:00:00,0,0,0,0,25,12,4,3,4,2019,Thursday,2019-04-04,14.38,10.44,12,19.44,1001,88,6.7,40,Clouds
2019-04-04 13:00:00,0,0,0,0,26,13,4,3,4,2019,Thursday,2019-04-04,14.98,9.84,9.44,19.44,1000,82,8.2,40,Clouds
2019-04-04 14:00:00,0,0,0,0,25,14,4,3,4,2019,Thursday,2019-04-04,14.42,9.71,12,16.11,999,80,7.2,40,Clouds
2019-04-04 15:00:00,0,0,0,0,25,15,4,3,4,2019,Thursday,2019-04-04,13.5,11.27,11.7,16,999,98,4.6,40,Rain
2019-04-04 16:00:00,0,0,0,0,26,16,4,3,4,2019,Thursday,2019-04-04,12.66,8.95,8.89,14.05,998,96,6.2,40,Rain
2019-04-04 17:00:00,0,0,0,0,10,17,4,3,4,2019,Thursday,2019-04-04,12.49,9.36,8.33,13.89,998,93,5.1,40,Rain
2019-04-05 06:00:00,0,0,0,0,30,6,5,4,4,2019,Friday,2019-04-05,9.52,7.96,5,11.11,998,89,1.5,40,Rain
2019-04-05 07:00:00,0,0,0,0,27,7,5,4,4,2019,Friday,2019-04-05,9.51,7.64,5,11.11,998,92,2.1,40,Rain
2019-04-05 08:00:00,0,0,0,0,28,8,5,4,4,2019,Friday,2019-04-05,9.57,6.98,5.56,11.67,999,91,3.1,40,Rain
2019-04-05 09:00:00,0,0,0,0,27,9,5,4,4,2019,Friday,2019-04-05,10.17,7.02,5.56,12.78,1000,91,4.1,20,Rain
2019-04-05 10:00:00,0,0,0,0,27,10,5,4,4,2019,Friday,2019-04-05,11.11,8.64,6.67,14.44,1001,85,3.1,20,Clouds
2019-04-05 11:00:00,0,0,0,0,26,11,5,4,4,2019,Friday,2019-04-05,11.62,9.77,7.78,14.44,1001,88,2.6,20,Clouds
2019-04-05 12:00:00,0,0,0,0,26,12,5,4,4,2019,Friday,2019-04-05,12.31,10.29,8.89,14,1002,88,3.1,40,Clouds
2019-04-05 13:00:00,0,0,0,0,25,13,5,4,4,2019,Friday,2019-04-05,12.76,12.08,9.44,15,1002,90,1.5,40,Clouds
2019-04-05 14:00:00,0,0,0,0,26,14,5,4,4,2019,Friday,2019-04-05,12.86,11.5,10.3,14.44,1002,82,1.95,40,Clouds
2019-04-05 15:00:00,0,0,0,0,25,15,5,4,4,2019,Friday,2019-04-05,13.07,12.18,10,15,1003,84,1.5,20,Clouds
2019-04-05 16:00:00,0,0,0,0,26,16,5,4,4,2019,Friday,2019-04-05,12.7,11.14,9.44,14.44,1003,88,2.6,20,Clouds
2019-04-05 17:00:00,0,0,0,0,27,17,5,4,4,2019,Friday,2019-04-05,11.86,9.72,9,13.89,1004,88,3.1,40,Clouds
2019-04-08 06:00:00,8.79,13.72,155.52,45.92,336,6,8,0,4,2019,Monday,2019-04-08,8.64,6.68,6.11,11.67,1006,95,2.1,20,Clouds
2019-04-08 07:00:00,9.05,13.45,149.38,47.34,331,7,8,0,4,2019,Monday,2019-04-08,9.95,9.39,7.22,11.67,1006,94,0.5,40,Clouds
2019-04-08 08:00:00,3.66,5.17,59.41,20.48,207,8,8,0,4,2019,Monday,2019-04-08,10.95,10.22,7.78,13.33,1006,92,1,40,Clouds
2019-04-08 09:00:00,2.07,2.94,38.57,10.91,167,9,8,0,4,2019,Monday,2019-04-08,12.06,10.67,8.33,14.44,1007,88,2.1,20,Clouds
2019-04-08 10:00:00,8.39,12.88,151.34,46.42,333,10,8,0,4,2019,Monday,2019-04-08,12.63,11.62,8.89,14.44,1007,84,1.5,40,Rain
2019-04-08 11:00:00,8.75,10.41,135.39,42.46,298,11,8,0,4,2019,Monday,2019-04-08,13.24,12.5,9.44,15.56,1007,86,1.5,40,Rain
2019-04-08 12:00:00,0.25,0.22,3.86,0.76,80,12,8,0,4,2019,Monday,2019-04-08,13.71,12.73,10,15.56,1007,87,2.1,40,Clouds
2019-04-08 13:00:00,9.07,11.1,143.35,43.67,329,13,8,0,4,2019,Monday,2019-04-08,13.55,12.13,10.8,16,1007,86,2.6,40,Drizzle
2019-04-08 14:00:00,8.83,12.33,146.7,45.48,314,14,8,0,4,2019,Monday,2019-04-08,13.49,12.46,10.56,15.56,1007,94,2.6,40,Drizzle
2019-04-08 15:00:00,9.92,14.06,162.13,11.7,303,15,8,0,4,2019,Monday,2019-04-08,13.74,11.78,11,15.56,1007,88,3.6,40,Mist
2019-04-08 16:00:00,9.09,8.39,178.48,0,271,16,8,0,4,2019,Monday,2019-04-08,13.75,12.59,11.6,15.56,1006,90,2.6,40,Clouds
2019-04-08 17:00:00,6.7,6.05,142.77,0,240,17,8,0,4,2019,Monday,2019-04-08,13.6,13.17,11.6,15,1006,90,1.5,40,Clouds
2019-04-09 06:00:00,8.5,13.95,153.04,44.92,327,6,9,1,4,2019,Tuesday,2019-04-09,10.16,8.87,7.22,12.03,1006,92,1.5,40,Rain
2019-04-09 07:00:00,8.63,14.41,151.56,45.74,326,7,9,1,4,2019,Tuesday,2019-04-09,10.87,9.3,7.78,12.78,1007,91,2.1,75,Rain
2019-04-09 08:00:00,8.63,14.26,150.52,44.51,326,8,9,1,4,2019,Tuesday,2019-04-09,11.69,10.34,8.33,13.89,1007,91,2.1,75,Clouds
2019-04-09 09:00:00,6.5,11.38,115.81,33.73,269,9,9,1,4,2019,Tuesday,2019-04-09,12.56,10.75,8.89,15.56,1007,91,3.1,75,Mist
2019-04-09 10:00:00,4.55,7.43,82.12,23.01,228,10,9,1,4,2019,Tuesday,2019-04-09,13.92,11.41,9.44,17.78,1007,90,4.6,75,Mist
2019-04-09 11:00:00,4.09,6.17,74.83,22.21,212,11,9,1,4,2019,Tuesday,2019-04-09,15.14,12.45,10,19.44,1007,80,4.6,75,Clouds
2019-04-09 12:00:00,0,0,0,0,59,12,9,1,4,2019,Tuesday,2019-04-09,16.25,13.7,10.56,20.56,1007,71,4.1,75,Rain
2019-04-09 13:00:00,8.18,12.8,157.25,48.1,324,13,9,1,4,2019,Tuesday,2019-04-09,16.75,14.44,11.11,19.44,1006,67,3.6,75,Clouds
2019-04-09 14:00:00,9.15,12.01,150.85,45.98,319,14,9,1,4,2019,Tuesday,2019-04-09,16.88,14.13,13.89,20,1006,65,4.1,75,Rain
2019-04-09 15:00:00,8.86,9.98,160.44,39.65,300,15,9,1,4,2019,Tuesday,2019-04-09,16.15,13.11,13.33,19.44,1006,75,5.1,75,Clouds
2019-04-09 16:00:00,7.19,6.49,140.82,0,246,16,9,1,4,2019,Tuesday,2019-04-09,15.43,13.3,12.78,17.22,1006,76,3.6,75,Clouds
2019-04-09 17:00:00,0,0,15.24,0,59,17,9,1,4,2019,Tuesday,2019-04-09,14.62,13.46,12.78,16.67,1006,85,2.6,75,Clouds
2019-04-10 06:00:00,8.56,13.34,148.47,40.12,322,6,10,2,4,2019,Wednesday,2019-04-10,11.48,10.85,8.33,13.33,1005,99,1.5,40,Clouds
2019-04-10 07:00:00,8.47,13.09,146.24,46.99,325,7,10,2,4,2019,Wednesday,2019-04-10,12.66,12.21,8.89,15,1005,94,1.41,40,Mist
2019-04-10 08:00:00,8.46,13.56,145.55,47.31,317,8,10,2,4,2019,Wednesday,2019-04-10,13.98,12.28,8.89,16.67,1005,85,3.1,40,Mist
2019-04-10 09:00:00,8.26,13.75,145.24,45.37,323,9,10,2,4,2019,Wednesday,2019-04-10,15.51,13.11,9.44,17.78,1006,77,4.1,20,Rain
